obstime	dsr.new	dsr.pnfs
1973.00	43.47975711	NaN
1973.25	42.56777421	NaN
1973.50	42.82683389	NaN
1973.75	43.41977816	NaN
1974.00	42.74537009	NaN
1974.25	41.46461775	NaN
1974.50	40.74607996	NaN
1974.75	39.57366982	NaN
1975.00	38.85678875	NaN
1975.25	38.68386253	NaN
1975.50	38.34573948	NaN
1975.75	37.57922176	NaN
1976.00	36.64957302	NaN
1976.25	35.88662656	NaN
1976.50	35.03884921	NaN
1976.75	35.70185898	NaN
1977.00	35.30193181	NaN
1977.25	33.0059578	NaN
1977.50	32.56456411	NaN
1977.75	32.37980989	NaN
1978.00	31.37252142	NaN
1978.25	31.42427191	NaN
1978.50	30.63860633	NaN
1978.75	29.46892972	NaN
1979.00	29.09002898	NaN
1979.25	29.23824511	NaN
1979.50	29.14455605	NaN
1979.75	29.04656098	NaN
1980.00	29.22624988	NaN
1980.25	28.64134426	NaN
1980.50	28.88836284	NaN
1980.75	30.08081539	NaN
1981.00	32.03363038	NaN
1981.25	33.155095	NaN
1981.50	33.55713614	NaN
1981.75	33.52282756	NaN
1982.00	35.90155912	NaN
1982.25	36.36855976	NaN
1982.50	37.00740769	NaN
1982.75	37.78751722	NaN
1983.00	43.38663618	NaN
1983.25	44.33702056	NaN
1983.50	46.15598563	NaN
1983.75	47.86012232	NaN
1984.00	47.11150207	NaN
1984.25	47.53400269	NaN
1984.50	47.5608853	NaN
1984.75	47.52976724	NaN
1985.00	44.78957261	NaN
1985.25	43.17640874	NaN
1985.50	38.7846256	NaN
1985.75	33.00844745	NaN
1986.00	30.0050813	NaN
1986.25	28.77765341	NaN
1986.50	25.21401822	NaN
1986.75	24.29011861	NaN
1987.00	23.4503422	NaN
1987.25	22.40389999	NaN
1987.50	22.0354275	NaN
1987.75	20.98751522	NaN
1988.00	20.5276126	NaN
1988.25	19.77212181	NaN
1988.50	19.67445627	NaN
1988.75	19.55111489	NaN
1989.00	18.81950103	NaN
1989.25	18.56675228	NaN
1989.50	18.37164571	NaN
1989.75	18.47870418	NaN
1990.00	19.01982948	NaN
1990.25	19.32962984	NaN
1990.50	18.7271346	NaN
1990.75	18.10082729	NaN
1991.00	18.82556361	NaN
1991.25	19.49912055	NaN
1991.50	19.1396434	NaN
1991.75	18.93472504	NaN
1992.00	18.32018395	NaN
1992.25	17.90806927	NaN
1992.50	17.63547861	NaN
1992.75	17.82367277	NaN
1993.00	17.89551365	NaN
1993.25	17.98002834	NaN
1993.50	17.14405794	NaN
1993.75	17.11308717	NaN
1994.00	16.7693404	NaN
1994.25	17.17729255	NaN
1994.50	17.39869119	NaN
1994.75	16.48062746	NaN
1995.00	16.05359364	NaN
1995.25	15.80273873	NaN
1995.50	15.59698555	NaN
1995.75	15.18837276	NaN
1996.00	15.63709854	NaN
1996.25	15.18378139	NaN
1996.50	15.16598613	NaN
1996.75	14.9577595	NaN
1997.00	14.88060737	NaN
1997.25	14.58348599	NaN
1997.50	14.28813374	NaN
1997.75	14.36758846	NaN
1998.00	14.80928879	NaN
1998.25	14.26357087	NaN
1998.50	14.63964776	NaN
1998.75	14.4757712	NaN
1999.00	14	14
1999.25	14.1	14.1
1999.50	14	14
1999.75	14.1	14.1
2000.00	14.3	14.3
2000.25	14.6	14.6
2000.50	15.3	15.3
2000.75	16	16
2001.00	16.8	16.8
2001.25	17.3	17.3
2001.50	17.5	17.5
2001.75	17.5	17.5
2002.00	17.4	17.4
2002.25	17.2	17.2
2002.50	17.3	17.3
2002.75	17.5	17.5
2003.00	17.5	17.5
2003.25	17.1	17.1
2003.50	16.6	16.6
2003.75	16.5	16.5
2004.00	16.7	16.7
2004.25	16.8	16.8
2004.50	16.9	16.9
2004.75	16.9	16.9
2005.00	16.8	16.8
2005.25	17.1	17.1
2005.50	17	17
2005.75	17.1	17.1
2006.00	17.4	17.4
2006.25	17.4	17.4
2006.50	17.7	17.7
2006.75	18	18
2007.00	18.3	18.3
2007.25	18.9	18.9
2007.50	19.1	19.1
2007.75	19.7	19.7
2008.00	20.3	20.3
2008.25	20.8	20.8
2008.50	20.9	20.9
2008.75	21.2	21.2
2009.00	20.9	20.9
2009.25	20.1	20.1
2009.50	19.6	19.6
2009.75	19.1	19.1
2010.00	18.8	18.8
2010.25	18.8	18.8
2010.50	18.7	18.7
2010.75	19.1	19.1
2011.00	19.5	19.5
2011.25	19.9	19.9
2011.50	20.4	20.4
2011.75	20.7	20.7
2012.00	20.8	20.8
2012.25	20.7	20.7
2012.50	20.6	20.6
2012.75	20.5	20.5
2013.00	20.1	20.1
2013.25	19.8	19.8
2013.50	19.6	19.6
2013.75	19.4	19.4
2014.00	19.1	19.1
2014.25	18.8	18.8
2014.50	18.6	18.6
2014.75	18.4	18.4
2015.00	18.1	18.1
2015.25	17.8	17.8
2015.50	17.5	17.5
2015.75	17.3	17.3
2016.00	16.8	16.8
2016.25	16.5	16.5
2016.50	16.2	16.2
2016.75	15.9	15.9
2017.00	15.8	15.8
2017.25	15.6	15.6
2017.50	15.6	15.6
2017.75	15.4	15.4
2018.00	NaN	15.2
2018.25	NaN	15.1
2018.50	NaN	15.2
2018.75	NaN	15
2019.00	NaN	14.9
2019.25	NaN	14.8
