obstime	ir.wx	ir.ib	ir.st
1985.75	NaN	NaN	19.38333333
1986.00	NaN	NaN	18.01
1986.25	NaN	NaN	15.34333333
1986.50	NaN	NaN	15.19
1986.75	NaN	NaN	13.70666667
1987.00	NaN	NaN	13.39666667
1987.25	NaN	NaN	13.44333333
1987.50	NaN	NaN	13.44333333
1987.75	NaN	NaN	13.95333333
1988.00	NaN	NaN	13.41333333
1988.25	NaN	NaN	12.8
1988.50	NaN	NaN	12.96333333
1988.75	NaN	NaN	12.69666667
1989.00	NaN	NaN	12.49666667
1989.25	NaN	NaN	13.83
1989.50	NaN	NaN	16.10333333
1989.75	NaN	NaN	16.54666667
1990.00	NaN	NaN	17.28
1990.25	NaN	NaN	16.57666667
1990.50	NaN	NaN	16.71
1990.75	NaN	NaN	17.04333333
1991.00	NaN	NaN	17.46333333
1991.25	NaN	NaN	17.79333333
1991.50	NaN	NaN	17.92666667
1991.75	NaN	NaN	17.76666667
1992.00	NaN	NaN	17.86833333
1992.25	NaN	NaN	17.08533333
1992.50	NaN	NaN	15.76
1992.75	NaN	NaN	16.10933333
1993.00	NaN	NaN	14.624
1993.25	NaN	NaN	15.00566667
1993.50	NaN	NaN	11.851
1993.75	NaN	NaN	11.49966667
1994.00	NaN	NaN	10.23266667
1994.25	NaN	NaN	12.21533333
1994.50	NaN	NaN	11.76866667
1994.75	NaN	NaN	10.21
1995.00	NaN	NaN	10.527
1995.25	NaN	NaN	10.20033333
1995.50	NaN	NaN	9.337
1995.75	NaN	NaN	9.082333333
1996.00	NaN	NaN	8.166666667
1996.25	NaN	NaN	7.333333333
1996.50	NaN	NaN	7.233333333
1996.75	NaN	NaN	6.733333333
1997.00	NaN	NaN	6.233333333
1997.25	NaN	NaN	5.866666667
1997.50	NaN	NaN	5.566666667
1997.75	NaN	NaN	5.3
1998.00	NaN	NaN	4.7
1998.25	NaN	NaN	4.466666667
1998.50	NaN	NaN	4.333333333
1998.75	NaN	NaN	3.733333333
1999.00	NaN	2.9252	3.090731884
1999.25	NaN	2.5632	2.634029582
1999.50	NaN	2.4336	2.699393939
1999.75	NaN	3.0418	3.42979798
2000.00	NaN	3.5104	3.54231608
2000.25	NaN	4.2945	4.263016835
2000.50	NaN	4.5905	4.737600414
2000.75	NaN	4.8268	5.024128389
2001.00	NaN	4.7814	4.745054545
2001.25	NaN	4.5395	4.590751082
2001.50	NaN	3.9865	4.267836034
2001.75	NaN	3.3389	3.443480091
2002.00	NaN	3.264	3.362224242
2002.25	NaN	3.3485	3.446013709
2002.50	NaN	3.3186	3.357350649
2002.75	NaN	3.0945	3.108817909
2003.00	NaN	2.749	2.683073521
2003.25	NaN	2.2133	2.361910317
2003.50	NaN	2.0209	2.139263411
2003.75	NaN	2.0567	2.149649517
2004.00	NaN	2.0057	2.062950759
2004.25	2	2.0277	2.082429654
2004.50	2.044736009	2.0518	2.11630303
2004.75	2.075329865	2.0535	2.163608476
2005.00	2.002896601	2.0567	2.140323016
2005.25	2.11222356	2.0623	2.124639971
2005.50	1.980076106	2.0941	2.130347732
2005.75	2.301308796	2.2757	2.343446609
2006.00	2.518025309	2.52	2.611546838
2006.25	2.822728835	2.6977	2.889486532
2006.50	3.360611795	3.041	3.221349896
2006.75	3.479705216	3.5011	3.594464115
2007.00	3.723536773	3.6909	3.820324242
2007.25	3.910530391	3.9557	4.064796233
2007.50	3.763280874	4.0286	4.500496838
2007.75	3.964531198	3.8791	4.724768393
2008.00	4.012205997	4.091	4.480003038
2008.25	4.159170089	4.0067	4.860468254
2008.50	3.753696561	4.2733	4.981790765
2008.75	1.624919774	2.4864	4.214668668
2009.00	0.123994956	1.062	2.011676118
2009.25	0.171480824	0.698	1.310636364
2009.50	-0.420210122	0.3632	0.86917454
2009.75	0.192457787	0.3546	0.721911977
